Customer_ID,Age,Gender,Location,Annual_Income,Browsing_Time_per_Week_Hours,Purchase_Frequency_Per_Month,Impact_of_Dynamic_Pricing_on_Purchase,Perception_of_Amazon_Revenue_Growth_due_to_Dynamic_Pricing,Perception_of_Competition_in_Amazon_Marketplace,Likely_to_Recommend_Amazon_Based_on_Pricing
1200,35,Other,North America,39973,21.73,0,Moderate Impact,Moderate Growth,No Change,Unlikely
1201,55,Other,Australia,80716,23.59,12,Low Impact,Negative Impact,Decreased Competition,Highly Unlikely
1202,66,Female,Australia,190165,26.15,18,No Impact,Significant Growth,No Change,Highly Unlikely
1203,20,Other,Asia,86348,14.77,3,No Impact,No Growth,No Change,Unlikely
1204,52,Female,Europe,57176,14.96,4,Low Impact,Significant Growth,Increased Competition,Unlikely
1205,32,Male,North America,148878,4.09,9,Moderate Impact,Significant Growth,Decreased Competition,Likely
1206,55,Female,Europe,150001,3.73,16,Low Impact,Negative Impact,No Change,Likely
1207,54,Other,Asia,59270,13.83,2,Low Impact,No Growth,No Change,Likely
1208,57,Male,South America,84559,5.81,11,Low Impact,Moderate Growth,Decreased Competition,Highly Likely
1209,59,Other,Europe,45098,1.61,4,Low Impact,No Growth,Increased Competition,Unlikely
1210,19,Other,Australia,192765,15.9,8,High Impact,No Growth,Decreased Competition,Unlikely
1211,21,Other,Europe,120766,18.94,2,Moderate Impact,Moderate Growth,Decreased Competition,Likely
1212,68,Female,South America,171800,25.58,10,High Impact,Moderate Growth,Increased Competition,Likely
1213,29,Male,Asia,97592,10.28,16,Low Impact,No Growth,Increased Competition,Unlikely
1214,61,Other,Europe,125908,9.02,13,High Impact,Significant Growth,Decreased Competition,Highly Likely
1215,24,Other,Australia,145701,7.44,15,No Impact,No Growth,Increased Competition,Highly Unlikely
1216,32,Female,Australia,34278,4.79,6,No Impact,No Growth,Decreased Competition,Likely
1217,19,Male,Australia,112254,18.41,12,Moderate Impact,No Growth,No Change,Likely
1218,19,Other,Australia,186950,29.28,14,Low Impact,Negative Impact,No Change,Unlikely
1219,69,Female,Europe,148776,21.51,0,Moderate Impact,No Growth,Decreased Competition,Unlikely
1220,35,Female,North America,86797,22.93,3,Moderate Impact,Negative Impact,No Change,Highly Likely
1221,34,Other,Australia,132223,9.62,0,Moderate Impact,Significant Growth,Decreased Competition,Highly Unlikely
1222,19,Male,Europe,74090,19.75,6,No Impact,Negative Impact,No Change,Highly Unlikely
1223,46,Male,Australia,120659,27.12,6,No Impact,Negative Impact,No Change,Unlikely
1224,57,Other,South America,70551,27.45,19,Low Impact,Moderate Growth,No Change,Highly Unlikely
1225,61,Male,Europe,66823,24.93,13,Low Impact,Significant Growth,Increased Competition,Likely
1226,26,Other,Europe,101297,10.06,18,High Impact,Negative Impact,Decreased Competition,Highly Likely
1227,65,Male,North America,191993,16.79,15,High Impact,Moderate Growth,Decreased Competition,Highly Unlikely
1228,62,Male,Europe,28325,28.99,8,High Impact,Significant Growth,Decreased Competition,Unlikely
1229,29,Female,South America,30217,5.44,11,Moderate Impact,Moderate Growth,Increased Competition,Likely
1230,69,Other,South America,36766,5.18,9,No Impact,No Growth,Increased Competition,Unlikely
1231,34,Other,Europe,41438,10.47,3,No Impact,Moderate Growth,No Change,Likely
1232,65,Male,South America,70945,22.02,16,Moderate Impact,No Growth,No Change,Highly Unlikely
1233,66,Male,North America,139142,17.64,15,Low Impact,No Growth,Increased Competition,Unlikely
1234,22,Other,South America,37261,28.68,12,High Impact,Moderate Growth,No Change,Highly Likely
1235,41,Female,North America,67476,28.7,8,Moderate Impact,No Growth,Increased Competition,Highly Likely
1236,55,Female,South America,109119,8.15,18,Moderate Impact,Negative Impact,Increased Competition,Likely
1237,48,Male,South America,138629,28.48,0,No Impact,Negative Impact,No Change,Likely
1238,48,Female,Australia,27418,23.22,4,Moderate Impact,Significant Growth,No Change,Unlikely
1239,45,Other,North America,149129,4.64,4,Low Impact,Significant Growth,Increased Competition,Highly Likely
1240,58,Male,Australia,97330,12.36,16,High Impact,Negative Impact,Increased Competition,Likely
1241,42,Other,South America,27129,10.29,8,Moderate Impact,Negative Impact,Increased Competition,Highly Unlikely
1242,18,Female,Asia,102643,13.95,10,High Impact,Significant Growth,No Change,Highly Likely
1243,29,Female,Asia,126547,4.91,7,Moderate Impact,Significant Growth,No Change,Unlikely
1244,31,Male,Australia,42400,21.19,14,High Impact,Negative Impact,Increased Competition,Highly Likely
1245,65,Female,South America,40211,27.23,9,Low Impact,No Growth,No Change,Likely
1246,32,Female,Australia,70241,17.86,4,Moderate Impact,Negative Impact,No Change,Unlikely
1247,35,Male,South America,140172,19.23,4,Moderate Impact,Significant Growth,Increased Competition,Unlikely
1248,58,Other,Asia,86134,28.53,13,Low Impact,Negative Impact,No Change,Unlikely
1249,46,Male,Asia,82360,24.53,7,Low Impact,Negative Impact,No Change,Unlikely
1250,57,Female,North America,67725,11.66,6,Low Impact,Moderate Growth,Decreased Competition,Highly Likely
1251,67,Other,Europe,128975,11.07,5,No Impact,Negative Impact,No Change,Highly Unlikely
1252,43,Male,Europe,35272,25.36,11,High Impact,Moderate Growth,Decreased Competition,Likely
1253,44,Female,South America,183527,24.67,5,Moderate Impact,Negative Impact,Increased Competition,Highly Unlikely
1254,27,Female,Asia,109329,8.89,19,Moderate Impact,Significant Growth,Decreased Competition,Highly Unlikely
1255,69,Male,Europe,81774,10.93,19,No Impact,Significant Growth,No Change,Highly Unlikely
1256,64,Female,North America,46438,10.44,18,Low Impact,No Growth,No Change,Unlikely
1257,46,Female,South America,85793,15.94,16,Low Impact,Significant Growth,No Change,Unlikely
1258,37,Female,Australia,37053,26.37,9,No Impact,Negative Impact,Increased Competition,Highly Unlikely
1259,23,Male,Europe,80800,9.15,1,Low Impact,Moderate Growth,Increased Competition,Unlikely
1260,40,Other,Asia,180808,3.18,17,High Impact,No Growth,Increased Competition,Unlikely
1261,53,Male,South America,32013,29.31,16,High Impact,Moderate Growth,Increased Competition,Likely
1262,34,Other,South America,175179,12.15,3,Moderate Impact,Significant Growth,Increased Competition,Likely
1263,47,Male,North America,186882,1.08,14,Moderate Impact,Moderate Growth,Increased Competition,Highly Likely
1264,26,Male,South America,32623,17.27,0,High Impact,No Growth,No Change,Highly Likely
1265,61,Male,Europe,50347,24.77,5,No Impact,Significant Growth,No Change,Unlikely
1266,30,Female,Asia,145029,6.01,4,No Impact,No Growth,No Change,Highly Unlikely
1267,47,Female,Australia,57535,12.23,8,Low Impact,No Growth,No Change,Unlikely
1268,30,Female,North America,112883,22.56,18,Low Impact,Moderate Growth,Decreased Competition,Likely
1269,29,Female,Europe,116361,3.52,3,High Impact,Negative Impact,Decreased Competition,Unlikely
1270,41,Female,Australia,138391,16.78,15,Moderate Impact,Moderate Growth,No Change,Unlikely
1271,58,Other,Asia,149072,12.4,15,High Impact,Moderate Growth,No Change,Highly Likely
1272,52,Female,Australia,41068,16.33,7,Moderate Impact,Significant Growth,No Change,Highly Unlikely
1273,50,Male,Asia,71465,9.05,12,High Impact,Significant Growth,No Change,Likely
1274,54,Female,Europe,64173,25.07,7,No Impact,Significant Growth,No Change,Likely
1275,24,Other,Europe,87362,25.35,7,No Impact,Significant Growth,Decreased Competition,Likely
1276,49,Female,Europe,95139,17.58,19,High Impact,Negative Impact,Decreased Competition,Highly Unlikely
1277,22,Male,Australia,160726,14.62,15,High Impact,No Growth,Decreased Competition,Unlikely
1278,37,Female,South America,173512,23.55,5,Moderate Impact,Moderate Growth,Increased Competition,Highly Unlikely
1279,69,Other,Asia,69457,18.98,5,High Impact,Significant Growth,No Change,Highly Unlikely
1280,60,Female,South America,53916,1.1,0,No Impact,Significant Growth,No Change,Unlikely
1281,29,Male,Australia,33202,28.42,3,High Impact,Significant Growth,Increased Competition,Highly Likely
1282,61,Other,Australia,192019,6.2,6,No Impact,Moderate Growth,No Change,Highly Likely
1283,38,Other,Asia,192497,6.26,12,Low Impact,Moderate Growth,Increased Competition,Unlikely
1284,68,Male,South America,162702,4.28,9,Moderate Impact,No Growth,No Change,Likely
1285,62,Female,Asia,136854,8.5,7,No Impact,Significant Growth,No Change,Highly Likely
1286,53,Female,South America,97724,14.82,14,No Impact,Significant Growth,Increased Competition,Unlikely
1287,22,Female,Australia,58777,3.9,0,No Impact,Significant Growth,Decreased Competition,Likely
1288,21,Male,North America,43446,15.7,8,High Impact,Moderate Growth,Increased Competition,Likely
1289,58,Male,Europe,144818,14.93,19,High Impact,No Growth,Decreased Competition,Highly Unlikely
1290,38,Male,North America,78182,27.38,1,Low Impact,Significant Growth,No Change,Likely
1291,29,Other,North America,91217,14.5,17,Moderate Impact,Significant Growth,No Change,Highly Likely
1292,55,Other,Europe,76900,19.9,2,No Impact,Significant Growth,Increased Competition,Likely
1293,30,Female,North America,160266,14.77,3,High Impact,Negative Impact,Increased Competition,Likely
1294,58,Male,Asia,193326,11.0,16,No Impact,Negative Impact,Increased Competition,Unlikely
1295,46,Other,South America,118490,23.14,3,High Impact,Negative Impact,Increased Competition,Highly Unlikely
1296,36,Other,North America,67894,11.87,11,Moderate Impact,Negative Impact,Increased Competition,Likely
1297,44,Male,Asia,69446,22.09,5,Low Impact,Negative Impact,No Change,Likely
1298,42,Male,Europe,82463,26.16,9,No Impact,No Growth,No Change,Highly Likely
1299,34,Female,South America,180315,17.9,16,Low Impact,Negative Impact,Decreased Competition,Likely
1300,44,Female,North America,183418,18.67,11,No Impact,No Growth,Increased Competition,Highly Unlikely
1301,50,Female,Australia,144702,6.3,18,Moderate Impact,No Growth,Increased Competition,Highly Likely
1302,52,Other,Australia,139307,15.25,4,Moderate Impact,Significant Growth,No Change,Highly Likely
1303,38,Other,South America,183959,4.27,5,Low Impact,Significant Growth,No Change,Highly Likely
1304,52,Other,Europe,110599,25.29,9,Moderate Impact,No Growth,Increased Competition,Likely
1305,20,Other,South America,64169,12.29,12,No Impact,Negative Impact,Increased Competition,Highly Unlikely
1306,44,Other,Australia,126142,4.7,6,No Impact,Moderate Growth,Increased Competition,Unlikely
1307,38,Male,Europe,109350,29.54,12,No Impact,Moderate Growth,Increased Competition,Highly Unlikely
1308,58,Female,Asia,187052,21.73,15,High Impact,Significant Growth,Decreased Competition,Unlikely
1309,19,Female,Australia,76046,24.25,9,No Impact,No Growth,Increased Competition,Highly Likely
1310,63,Male,Europe,100622,25.02,12,Moderate Impact,Negative Impact,Decreased Competition,Highly Likely
1311,57,Female,Europe,25504,25.02,11,Low Impact,Negative Impact,Increased Competition,Unlikely
1312,53,Female,Europe,80559,9.11,15,Moderate Impact,No Growth,Decreased Competition,Highly Likely
1313,56,Male,North America,61779,10.77,13,Moderate Impact,Moderate Growth,Increased Competition,Highly Unlikely
1314,32,Male,Asia,155094,29.9,8,No Impact,Negative Impact,Decreased Competition,Highly Likely
1315,57,Female,Australia,77224,28.35,18,High Impact,Significant Growth,Increased Competition,Highly Likely
1316,32,Female,Australia,115169,24.89,13,High Impact,Moderate Growth,Decreased Competition,Highly Unlikely
1317,25,Female,North America,27833,7.42,0,High Impact,Negative Impact,No Change,Highly Likely
1318,49,Other,Australia,84548,16.96,5,High Impact,Negative Impact,No Change,Highly Likely
1319,63,Female,North America,162242,27.26,5,Low Impact,Negative Impact,No Change,Likely
1320,23,Male,South America,28577,15.85,8,Low Impact,Negative Impact,No Change,Unlikely
1321,30,Male,Europe,197057,24.01,13,Low Impact,No Growth,No Change,Likely
1322,20,Other,North America,32631,24.21,14,No Impact,Moderate Growth,Decreased Competition,Likely
1323,52,Other,South America,112344,14.43,11,High Impact,Significant Growth,No Change,Likely
1324,52,Male,Europe,76110,14.53,7,High Impact,Significant Growth,Increased Competition,Unlikely
1325,49,Other,North America,128112,22.8,16,Moderate Impact,Moderate Growth,Decreased Competition,Unlikely
1326,32,Female,North America,147823,15.18,0,Moderate Impact,Moderate Growth,Increased Competition,Likely
1327,37,Female,South America,129047,21.45,9,No Impact,Moderate Growth,Increased Competition,Highly Likely
1328,32,Other,Europe,181139,26.72,14,Low Impact,Negative Impact,No Change,Highly Likely
1329,50,Female,Europe,61613,25.76,1,No Impact,No Growth,Increased Competition,Likely
1330,58,Male,Asia,38293,6.57,19,Low Impact,Negative Impact,Increased Competition,Highly Unlikely
1331,58,Male,Australia,120149,5.71,16,Moderate Impact,Significant Growth,No Change,Highly Unlikely
1332,56,Other,Europe,30170,26.52,2,Low Impact,Moderate Growth,No Change,Unlikely
1333,43,Male,Europe,190752,2.9,2,Moderate Impact,No Growth,Decreased Competition,Unlikely
1334,27,Female,North America,122524,13.5,18,Moderate Impact,Negative Impact,Decreased Competition,Highly Unlikely
1335,39,Male,South America,143419,20.24,2,High Impact,Significant Growth,No Change,Highly Likely
1336,47,Other,North America,77287,16.5,16,No Impact,No Growth,No Change,Highly Likely
1337,33,Female,North America,179489,27.49,0,Low Impact,Moderate Growth,Increased Competition,Highly Likely
1338,69,Female,Australia,86359,17.73,16,Moderate Impact,Significant Growth,Increased Competition,Highly Likely
1339,44,Female,Europe,52225,19.43,7,High Impact,Moderate Growth,Decreased Competition,Unlikely
1340,24,Other,Australia,161397,12.99,15,Low Impact,Moderate Growth,Decreased Competition,Likely
1341,65,Male,Australia,72730,25.01,12,Moderate Impact,Significant Growth,Decreased Competition,Highly Unlikely
1342,46,Male,Europe,125167,19.71,1,High Impact,Negative Impact,Decreased Competition,Highly Unlikely
1343,56,Other,South America,45929,13.74,3,High Impact,No Growth,Increased Competition,Likely
1344,42,Female,North America,104811,21.2,11,Moderate Impact,Negative Impact,Increased Competition,Highly Unlikely
1345,53,Female,South America,80951,23.81,0,Moderate Impact,Significant Growth,Decreased Competition,Likely
1346,63,Other,South America,155598,25.33,10,Moderate Impact,Negative Impact,No Change,Unlikely
1347,54,Other,Australia,45625,28.29,3,High Impact,Moderate Growth,Decreased Competition,Highly Unlikely
1348,49,Male,Australia,158865,1.76,15,No Impact,No Growth,No Change,Unlikely
1349,41,Other,North America,156309,4.27,8,Moderate Impact,Moderate Growth,Decreased Competition,Unlikely
1350,37,Male,Europe,138665,15.73,17,Low Impact,Moderate Growth,Decreased Competition,Unlikely
1351,58,Female,Australia,45731,5.01,9,Low Impact,Negative Impact,Increased Competition,Unlikely
1352,31,Male,Asia,47788,29.85,13,High Impact,Negative Impact,Decreased Competition,Highly Likely
1353,54,Other,Australia,36838,1.55,4,High Impact,Significant Growth,No Change,Highly Likely
1354,60,Other,North America,25641,15.14,5,Low Impact,Negative Impact,Decreased Competition,Likely
1355,46,Female,North America,117988,28.0,5,Moderate Impact,Significant Growth,Decreased Competition,Likely
1356,67,Female,North America,91553,18.59,6,Low Impact,No Growth,No Change,Likely
1357,58,Female,North America,193052,9.24,3,No Impact,No Growth,No Change,Highly Unlikely
1358,48,Male,Australia,82261,8.97,8,Moderate Impact,Negative Impact,No Change,Highly Likely
1359,46,Other,Asia,113231,2.16,2,High Impact,No Growth,Increased Competition,Highly Likely
1360,51,Male,Europe,98333,20.7,18,Low Impact,Moderate Growth,Increased Competition,Highly Likely
1361,29,Female,Asia,163769,26.71,11,High Impact,Negative Impact,Decreased Competition,Likely
1362,21,Other,Australia,100329,24.06,19,No Impact,No Growth,No Change,Likely
1363,45,Other,Australia,117110,25.16,16,High Impact,No Growth,Increased Competition,Likely
1364,34,Male,Australia,90532,22.85,17,Low Impact,No Growth,No Change,Highly Likely
1365,45,Female,Asia,48757,19.12,13,Moderate Impact,Negative Impact,No Change,Highly Unlikely
1366,18,Male,Australia,38466,17.81,15,High Impact,Moderate Growth,Decreased Competition,Likely
1367,59,Other,Asia,72255,16.47,12,High Impact,Moderate Growth,No Change,Unlikely
1368,41,Other,Asia,138888,7.63,0,High Impact,Negative Impact,Increased Competition,Unlikely
1369,51,Other,Asia,80271,1.12,13,High Impact,Significant Growth,Decreased Competition,Unlikely
1370,35,Female,Australia,124346,20.53,2,No Impact,Moderate Growth,Decreased Competition,Highly Likely
1371,46,Female,Australia,82297,20.33,11,No Impact,Significant Growth,Increased Competition,Unlikely
1372,24,Female,South America,25735,21.26,11,No Impact,Negative Impact,Decreased Competition,Unlikely
1373,63,Female,South America,147019,27.23,15,No Impact,Moderate Growth,No Change,Highly Likely
1374,56,Female,Europe,69113,22.24,12,No Impact,No Growth,Increased Competition,Unlikely
1375,48,Male,South America,186587,5.92,7,Low Impact,Significant Growth,Decreased Competition,Unlikely
1376,26,Male,South America,106522,12.2,12,Low Impact,Moderate Growth,Decreased Competition,Unlikely
1377,36,Male,North America,97449,16.5,5,Moderate Impact,Negative Impact,Decreased Competition,Likely
1378,24,Other,South America,188181,23.14,15,Low Impact,Moderate Growth,Decreased Competition,Highly Unlikely
1379,68,Male,North America,159208,5.06,16,No Impact,Moderate Growth,Increased Competition,Highly Unlikely
1380,52,Other,North America,184277,29.99,8,No Impact,Significant Growth,Increased Competition,Highly Unlikely
1381,63,Male,North America,106751,5.63,15,Moderate Impact,Moderate Growth,Decreased Competition,Highly Unlikely
1382,68,Other,South America,173224,9.64,1,Low Impact,Negative Impact,No Change,Likely
1383,63,Male,Australia,111169,6.63,17,Low Impact,Negative Impact,Decreased Competition,Unlikely
1384,25,Male,Europe,68381,13.57,9,Moderate Impact,No Growth,Increased Competition,Highly Unlikely
1385,41,Female,Australia,41936,16.84,19,Low Impact,Negative Impact,No Change,Unlikely
1386,25,Other,Asia,133051,10.87,10,Low Impact,Significant Growth,Increased Competition,Highly Unlikely
1387,23,Male,South America,33851,17.5,6,High Impact,No Growth,No Change,Highly Unlikely
1388,66,Male,Asia,110815,23.6,5,No Impact,Negative Impact,No Change,Likely
1389,25,Female,Europe,141039,11.03,11,High Impact,No Growth,No Change,Highly Unlikely
1390,46,Female,South America,151539,21.91,3,High Impact,Negative Impact,Decreased Competition,Highly Likely
1391,40,Female,South America,106028,6.21,12,Low Impact,Moderate Growth,Decreased Competition,Highly Likely
1392,23,Female,Europe,79751,10.42,4,Low Impact,Negative Impact,No Change,Likely
1393,36,Male,North America,89254,11.5,11,Low Impact,Moderate Growth,No Change,Highly Likely
1394,31,Male,Australia,195264,3.16,14,Moderate Impact,Negative Impact,Decreased Competition,Likely
1395,32,Male,Europe,134755,22.45,4,Moderate Impact,Moderate Growth,Decreased Competition,Highly Unlikely
1396,37,Male,South America,189517,29.77,12,No Impact,No Growth,Decreased Competition,Likely
1397,52,Male,Asia,31285,16.31,5,No Impact,Negative Impact,No Change,Highly Likely
1398,39,Female,North America,46096,26.56,0,High Impact,Negative Impact,No Change,Unlikely
1399,41,Male,Australia,179258,15.76,18,High Impact,Negative Impact,Increased Competition,Highly Likely
1400,40,Male,South America,83364,14.34,10,Moderate Impact,Significant Growth,Increased Competition,Highly Unlikely
1401,62,Other,North America,195131,9.67,18,Low Impact,Significant Growth,Decreased Competition,Likely
1402,47,Male,Australia,30082,27.17,10,No Impact,No Growth,Increased Competition,Likely
1403,38,Female,Australia,169564,10.19,19,High Impact,Negative Impact,Increased Competition,Highly Likely
1404,68,Male,Europe,135192,19.06,7,Low Impact,No Growth,No Change,Highly Unlikely
1405,51,Male,South America,122615,13.52,6,Low Impact,No Growth,Decreased Competition,Highly Unlikely
1406,21,Male,Asia,108627,28.78,5,No Impact,Negative Impact,Increased Competition,Likely
1407,62,Male,Europe,74775,25.5,11,Moderate Impact,Moderate Growth,No Change,Likely
1408,29,Female,South America,101150,7.49,1,Moderate Impact,Negative Impact,Increased Competition,Highly Unlikely
1409,30,Female,Asia,101952,2.34,16,Moderate Impact,Negative Impact,Increased Competition,Unlikely
1410,47,Other,South America,136909,23.74,13,High Impact,Moderate Growth,No Change,Highly Unlikely
1411,52,Other,Europe,99493,10.37,8,High Impact,Moderate Growth,No Change,Likely
1412,29,Female,North America,49069,29.33,2,Low Impact,Significant Growth,No Change,Highly Likely
1413,39,Other,Australia,177180,14.29,5,Low Impact,Negative Impact,No Change,Highly Unlikely
1414,20,Female,Europe,168207,19.1,19,Moderate Impact,Negative Impact,Decreased Competition,Highly Likely
1415,20,Female,Australia,60148,3.94,19,Moderate Impact,Moderate Growth,Decreased Competition,Likely
1416,66,Male,Australia,199978,14.1,1,Moderate Impact,Moderate Growth,No Change,Highly Likely
1417,37,Other,Asia,82207,25.57,16,Moderate Impact,Negative Impact,Increased Competition,Likely
1418,56,Male,Australia,48771,19.76,18,Moderate Impact,Negative Impact,No Change,Highly Likely
1419,41,Other,Asia,30333,21.7,15,Moderate Impact,No Growth,No Change,Unlikely
1420,41,Female,South America,110362,6.79,6,High Impact,Negative Impact,No Change,Unlikely
1421,42,Female,Europe,82195,9.82,12,Low Impact,Significant Growth,No Change,Highly Likely
1422,44,Other,North America,188896,13.13,19,No Impact,Significant Growth,Decreased Competition,Likely
1423,61,Female,Europe,161458,3.15,11,Low Impact,Moderate Growth,No Change,Highly Likely
1424,48,Other,South America,176726,15.6,7,Low Impact,No Growth,Decreased Competition,Highly Likely
1425,67,Other,North America,93908,18.3,7,Moderate Impact,Significant Growth,Decreased Competition,Highly Unlikely
1426,67,Female,Europe,174904,18.3,14,Moderate Impact,No Growth,Decreased Competition,Unlikely
1427,52,Male,Australia,199937,10.22,10,High Impact,No Growth,No Change,Highly Likely
1428,65,Other,Australia,123484,8.39,19,Moderate Impact,Significant Growth,No Change,Likely
1429,46,Other,Europe,62383,7.48,19,No Impact,Moderate Growth,Increased Competition,Unlikely
1430,50,Female,South America,184615,29.99,4,Moderate Impact,No Growth,Increased Competition,Likely
1431,58,Male,South America,168510,10.22,13,Moderate Impact,Negative Impact,No Change,Highly Unlikely
1432,59,Female,Asia,158341,4.46,16,No Impact,Moderate Growth,Increased Competition,Highly Likely
1433,60,Female,Asia,180484,22.11,0,Moderate Impact,Significant Growth,Increased Competition,Likely
1434,53,Female,South America,88212,16.6,3,High Impact,Significant Growth,Increased Competition,Unlikely
1435,22,Female,Asia,86354,4.43,0,High Impact,No Growth,No Change,Highly Likely
1436,23,Other,North America,90669,4.95,6,Moderate Impact,Significant Growth,Increased Competition,Highly Unlikely
1437,35,Female,Australia,64849,6.68,3,Moderate Impact,Negative Impact,Decreased Competition,Highly Likely
1438,62,Female,Asia,129080,23.81,16,Low Impact,Significant Growth,Decreased Competition,Highly Unlikely
1439,69,Female,Europe,152033,15.2,11,Moderate Impact,Moderate Growth,Increased Competition,Unlikely
1440,31,Male,Asia,191402,27.6,0,High Impact,Significant Growth,Decreased Competition,Likely
1441,38,Male,Europe,175410,20.61,1,High Impact,No Growth,No Change,Highly Unlikely
1442,54,Female,Australia,182763,23.47,3,No Impact,Negative Impact,Increased Competition,Likely
1443,30,Male,Australia,109612,18.5,0,Low Impact,Moderate Growth,Increased Competition,Highly Likely
1444,38,Other,North America,48472,17.69,9,High Impact,No Growth,Decreased Competition,Unlikely
1445,44,Other,Asia,104843,10.87,3,Moderate Impact,Significant Growth,Increased Competition,Highly Unlikely
1446,29,Other,Australia,126426,2.4,7,Moderate Impact,Negative Impact,No Change,Likely
1447,61,Female,Australia,146952,15.64,18,Low Impact,No Growth,Decreased Competition,Highly Unlikely
1448,34,Other,Asia,26024,13.36,17,No Impact,Negative Impact,Increased Competition,Highly Unlikely
1449,38,Other,North America,126017,17.45,12,Low Impact,Significant Growth,Increased Competition,Unlikely
1450,37,Male,Asia,128007,15.2,19,No Impact,No Growth,No Change,Unlikely
1451,46,Female,Australia,181757,18.09,19,Low Impact,No Growth,Decreased Competition,Unlikely
1452,30,Male,Europe,117698,21.71,10,Low Impact,Significant Growth,No Change,Likely
1453,62,Other,South America,191566,8.4,8,No Impact,Negative Impact,Decreased Competition,Unlikely
1454,46,Male,North America,197926,25.21,5,Low Impact,Moderate Growth,Decreased Competition,Highly Unlikely
1455,58,Other,South America,179125,27.26,9,No Impact,Significant Growth,No Change,Likely
1456,23,Male,Asia,30938,20.55,1,High Impact,Negative Impact,Decreased Competition,Unlikely
1457,23,Female,Europe,197169,2.76,15,Low Impact,Moderate Growth,Decreased Competition,Likely
1458,46,Male,Australia,184657,21.58,17,High Impact,No Growth,No Change,Likely
1459,58,Female,South America,192994,2.3,6,High Impact,No Growth,Decreased Competition,Unlikely
1460,26,Other,South America,48308,17.01,6,No Impact,No Growth,Decreased Competition,Highly Unlikely
1461,32,Other,Asia,151793,14.01,13,Moderate Impact,No Growth,No Change,Likely
1462,63,Other,North America,160125,10.4,4,High Impact,Significant Growth,Decreased Competition,Unlikely
1463,55,Female,South America,26287,29.42,16,Moderate Impact,Negative Impact,Increased Competition,Unlikely
1464,25,Other,Europe,122609,14.97,5,Moderate Impact,Negative Impact,No Change,Highly Unlikely
1465,35,Female,Australia,120940,8.76,5,High Impact,Moderate Growth,No Change,Likely
1466,67,Male,Europe,32222,20.82,5,Moderate Impact,No Growth,Decreased Competition,Highly Unlikely
1467,32,Female,Asia,157610,12.71,12,Low Impact,Significant Growth,No Change,Unlikely
1468,67,Other,North America,123052,3.35,6,No Impact,Negative Impact,Decreased Competition,Highly Likely
1469,23,Other,South America,40323,25.62,9,Low Impact,Negative Impact,Increased Competition,Highly Likely
1470,31,Female,Asia,146869,21.96,11,No Impact,Negative Impact,Decreased Competition,Likely
1471,42,Female,North America,57379,7.3,0,Moderate Impact,Moderate Growth,Decreased Competition,Unlikely
1472,26,Other,Australia,173959,3.23,7,Low Impact,Significant Growth,Increased Competition,Highly Unlikely
1473,29,Female,Europe,163574,1.13,6,No Impact,Negative Impact,Decreased Competition,Highly Likely
1474,22,Female,Asia,196522,15.45,15,High Impact,No Growth,Decreased Competition,Highly Likely
1475,32,Female,South America,49121,5.03,19,Low Impact,No Growth,No Change,Highly Likely
1476,59,Female,South America,46145,25.15,6,High Impact,Negative Impact,No Change,Unlikely
1477,61,Other,South America,87125,16.01,2,Moderate Impact,Moderate Growth,Increased Competition,Likely
1478,18,Other,South America,168745,3.57,2,Low Impact,No Growth,Decreased Competition,Highly Unlikely
1479,45,Other,Australia,141194,9.15,2,Moderate Impact,Negative Impact,No Change,Likely
1480,66,Other,Europe,87619,10.29,19,No Impact,No Growth,No Change,Highly Likely
1481,53,Female,Europe,154702,23.06,18,Low Impact,Negative Impact,Increased Competition,Unlikely
1482,56,Female,South America,84079,15.97,1,High Impact,No Growth,Decreased Competition,Likely
1483,39,Other,Asia,84557,15.46,6,High Impact,Negative Impact,Decreased Competition,Highly Unlikely
1484,60,Female,Asia,47107,28.73,1,High Impact,Moderate Growth,Decreased Competition,Highly Unlikely
1485,56,Male,Australia,59664,17.9,3,Moderate Impact,Moderate Growth,Decreased Competition,Highly Unlikely
1486,29,Other,Europe,59644,2.68,19,No Impact,No Growth,No Change,Highly Likely
1487,61,Female,Australia,126448,2.18,4,No Impact,Moderate Growth,Decreased Competition,Highly Unlikely
1488,69,Male,Australia,82601,6.47,10,High Impact,Significant Growth,No Change,Likely
1489,36,Male,Australia,128003,8.87,7,High Impact,No Growth,Increased Competition,Highly Likely
1490,50,Female,Asia,179115,28.94,5,No Impact,Moderate Growth,Decreased Competition,Likely
1491,48,Other,Australia,112281,12.23,10,No Impact,No Growth,Decreased Competition,Unlikely
1492,36,Other,Australia,31508,14.42,15,Low Impact,Negative Impact,No Change,Highly Unlikely
1493,29,Male,Europe,51724,7.93,12,No Impact,Negative Impact,No Change,Unlikely
1494,28,Other,Europe,56283,10.15,3,Low Impact,Significant Growth,No Change,Highly Unlikely
1495,47,Male,Australia,158790,12.43,13,No Impact,Negative Impact,Increased Competition,Highly Likely
1496,26,Other,South America,199309,3.87,0,High Impact,Moderate Growth,Decreased Competition,Unlikely
1497,48,Female,Asia,90910,10.47,7,No Impact,Significant Growth,No Change,Highly Likely
1498,59,Male,Europe,104209,24.41,3,No Impact,No Growth,Increased Competition,Highly Likely
1499,30,Female,South America,159437,25.21,12,High Impact,Significant Growth,Increased Competition,Highly Likely
